phase,quote
9,"*“It is difficult to live in the present, pointless to live in the future and impossible to live in the past.”*
― Frank Herbert, God Emperor of Dune"
9,"*“Any road followed precisely to its end leads precisely nowhere. Climb the mountain just a little bit to test that it's a mountain. From the top of the mountain, you cannot see the mountain.”*
― Frank Herbert, Dune"
5,"*""The axlotl tanks! He remembered emerging time after time: bright lights and padded mechanical hands. The hands rotated him and, in the unfocused blurs of the newborn, he saw ||a great mound of female flesh — monstrous in her|| almost immobile grossness ... a maze of dark tubes linked ||her|| body to giant metal containers."" *
~Heretics of Dune"
5,"*""No matter how exotic human civilization becomes, no matter the developments of life and society nor the complexity of the machine/ human interface, there always come interludes of lonely power when the course of humankind, the very future of humankind, depends upon the relatively simple actions of single individuals.""   —FROM THE TLEILAXU GODBUK*
~ Dune Messiah
"
5,"*""Has not religion claimed a patent on creation for all of these millennia?""*
        -The Tleilaxu :bt:  Question, from *Muad'dib Speaks*"
5,"*Where was Idaho in this shaped-to-measure flesh? It wasn’t flesh…it was a shroud in fleshly shape! His ghost stared out of metal eyes. Two beings stood side by side in this revenant flesh. One was a threat with its force and nature hidden behind unique veils.*
~Dune Messiah"
5,"*To endure oneself may be the hardest task in the universe. - Hayt, the Ghola* ~Dune Messiah"
6,"*The spice is vital to space travel. The Spacing Guild and its navigators, who the spice has mutated over 4000 years, use the orange spice gas, which gives them the ability to fold space.*
~Dune 1984"
6,"*""Are the Guild ships really big?"" he :paul:  asked.
The Duke looked at him. ""This will be your first time off planet,"" he said. ""Yes, they're big. We'll be riding a Heighliner :heighliners:  because it's a long trip. A Heighliner :heighliners:  is truly big. Its hold will tuck all our frigates and transports into a little corner -- we'll be just a small part of the ship's manifest.""

""And we won't be able to leave our frigates?""

""That's part of the price you pay for Guild :guild:  Security. There could be :harkonnen: Harkonnen ships right alongside us and we'd have nothing to fear from them. The Harkonnens :harkonnen: know better than to endanger their shipping privileges.""*
~Dune"
6,"*“Wild Fremen said it well: ""Four things cannot be hidden -- love, smoke, a pillar of fire and a man striding across the open bled.”*
― Frank Herbert, Dune Messiah"
